station_id,first_date,last_date,n_observed_days,n_missing_days,history_days,total_demand,history_group,is_short_history,is_zero_almost_always,appears_active_recently
3000,2021-07-01,2021-07-01,1,0,1,2.0,newborn,True,False,False
3005,2019-01-01,2024-12-30,2191,0,2191,59593.0,mature,False,False,True
3006,2019-01-01,2024-12-31,2192,0,2192,34790.0,mature,False,False,True
3007,2019-01-01,2024-12-31,2192,0,2192,17315.0,mature,False,False,True
3008,2019-01-01,2024-12-31,2192,0,2192,18640.0,mature,False,False,True
3010,2019-01-01,2024-12-27,2188,0,2188,3300.0,mature,False,False,True
3011,2019-01-01,2024-12-31,2192,0,2192,8716.0,mature,False,False,True
3013,2019-01-02,2019-08-15,226,0,226,101.0,young,True,False,False
3014,2019-01-01,2024-12-31,2192,0,2192,26905.0,mature,False,False,True
3016,2019-01-01,2024-12-28,2189,0,2189,7372.0,mature,False,False,True
3018,2019-01-01,2024-12-31,2192,0,2192,13142.0,mature,False,False,True
3019,2019-01-01,2024-12-31,2192,0,2192,12087.0,mature,False,False,True
3020,2019-01-01,2024-12-30,2191,0,2191,3444.0,mature,False,False,True
3022,2019-01-01,2024-12-30,2191,0,2191,15820.0,mature,False,False,True
3023,2019-01-01,2022-03-14,1169,0,1169,4750.0,mature,False,False,False
3024,2019-01-02,2024-12-30,2190,0,2190,5259.0,mature,False,False,True
3025,2019-01-01,2024-12-28,2189,0,2189,3222.0,mature,False,False,True
3026,2019-01-01,2024-12-31,2192,0,2192,9767.0,mature,False,False,True
3027,2019-01-01,2024-12-31,2192,0,2192,15549.0,mature,False,False,True
3028,2019-01-01,2024-12-31,2192,0,2192,5157.0,mature,False,False,True
3029,2019-01-01,2022-06-22,1269,0,1269,4927.0,mature,False,False,False
3030,2019-01-01,2024-12-31,2192,0,2192,29689.0,mature,False,False,True
3031,2019-01-01,2024-04-03,1920,0,1920,25421.0,mature,False,False,False
3032,2019-01-01,2024-12-31,2192,0,2192,14995.0,mature,False,False,True
3033,2019-01-01,2024-12-31,2192,0,2192,7393.0,mature,False,False,True
3034,2019-01-01,2024-12-31,2192,0,2192,13720.0,mature,False,False,True
3035,2019-01-01,2024-12-31,2192,0,2192,44486.0,mature,False,False,True
3036,2019-01-01,2024-09-23,2093,0,2093,5678.0,mature,False,False,False
3037,2019-01-01,2024-12-30,2191,0,2191,7124.0,mature,False,False,True
3038,2019-01-01,2019-12-08,342,0,342,4927.0,young,True,False,False
3040,2019-01-01,2024-12-31,2192,0,2192,7214.0,mature,False,False,True
3042,2019-01-01,2024-12-31,2192,0,2192,21472.0,mature,False,False,True
3045,2019-01-02,2024-12-31,2191,0,2191,3839.0,mature,False,False,True
3046,2019-01-01,2024-12-29,2190,0,2190,7451.0,mature,False,False,True
3047,2019-01-01,2024-12-31,2192,0,2192,13774.0,mature,False,False,True
3048,2019-01-01,2024-12-31,2192,0,2192,7354.0,mature,False,False,True
3049,2019-01-01,2024-12-31,2192,0,2192,10964.0,mature,False,False,True
3051,2019-01-01,2020-04-08,464,0,464,3791.0,mature,False,False,False
3052,2019-01-01,2024-12-31,2192,0,2192,15988.0,mature,False,False,True
3054,2019-01-01,2024-12-31,2192,0,2192,5094.0,mature,False,False,True
3056,2019-01-01,2024-12-31,2192,0,2192,6277.0,mature,False,False,True
3057,2019-01-01,2022-10-15,1384,0,1384,2460.0,mature,False,False,False
3058,2019-01-02,2024-12-31,2191,0,2191,4844.0,mature,False,False,True
3062,2019-01-01,2024-12-31,2192,0,2192,10214.0,mature,False,False,True
3063,2019-01-01,2024-12-30,2191,0,2191,19603.0,mature,False,False,True
3064,2019-01-01,2024-12-31,2192,0,2192,29375.0,mature,False,False,True
3065,2019-01-01,2024-12-31,2192,0,2192,4426.0,mature,False,False,True
3066,2019-01-01,2024-12-29,2190,0,2190,11904.0,mature,False,False,True
3067,2019-01-01,2020-12-27,727,0,727,8671.0,mature,False,False,False
3068,2019-01-01,2024-12-31,2192,0,2192,12559.0,mature,False,False,True
3069,2019-01-01,2024-12-31,2192,0,2192,19231.0,mature,False,False,True
3074,2019-01-01,2024-12-31,2192,0,2192,24542.0,mature,False,False,True
3075,2019-01-01,2024-12-30,2191,0,2191,13655.0,mature,False,False,True
3076,2019-01-01,2024-12-30,2191,0,2191,8596.0,mature,False,False,True
3077,2019-01-01,2024-12-31,2192,0,2192,6701.0,mature,False,False,True
3078,2019-01-02,2024-12-30,2190,0,2190,5713.0,mature,False,False,True
3079,2019-07-25,2024-12-30,1986,0,1986,2314.0,mature,False,False,True
3081,2019-01-01,2024-12-30,2191,0,2191,3080.0,mature,False,False,True
3082,2019-01-01,2024-12-31,2192,0,2192,16611.0,mature,False,False,True
4108,2019-05-24,2019-12-30,221,0,221,14.0,young,True,False,False
4125,2019-03-04,2019-10-27,238,0,238,37.0,young,True,False,False
4126,2019-01-01,2019-11-10,314,0,314,1434.0,young,True,False,False
4127,2019-01-10,2019-11-11,306,0,306,130.0,young,True,False,False
4129,2019-01-02,2019-11-14,317,0,317,747.0,young,True,False,False
4130,2019-01-01,2019-11-12,316,0,316,594.0,young,True,False,False
4131,2019-01-01,2019-11-10,314,0,314,748.0,young,True,False,False
4132,2019-01-01,2019-11-13,317,0,317,549.0,young,True,False,False
4133,2019-01-05,2019-11-15,315,0,315,779.0,young,True,False,False
4134,2019-01-01,2019-11-09,313,0,313,316.0,young,True,False,False
4135,2019-01-02,2019-11-09,312,0,312,361.0,young,True,False,False
4136,2019-01-19,2019-11-14,300,0,300,194.0,young,True,False,False
4202,2019-01-01,2024-12-31,2192,0,2192,9979.0,mature,False,False,True
4204,2019-01-01,2024-12-31,2192,0,2192,8094.0,mature,False,False,True
4205,2019-01-01,2024-12-31,2192,0,2192,5881.0,mature,False,False,True
4206,2019-01-01,2024-12-31,2192,0,2192,8301.0,mature,False,False,True
4207,2019-01-02,2024-12-31,2191,0,2191,6595.0,mature,False,False,True
4208,2019-01-01,2024-12-31,2192,0,2192,5210.0,mature,False,False,True
4209,2019-01-01,2024-12-31,2192,0,2192,18048.0,mature,False,False,True
4210,2019-01-01,2024-12-31,2192,0,2192,47082.0,mature,False,False,True
4211,2019-01-01,2024-12-31,2192,0,2192,16711.0,mature,False,False,True
4212,2019-01-01,2024-12-31,2192,0,2192,20342.0,mature,False,False,True
4213,2019-01-03,2024-12-31,2190,0,2190,2744.0,mature,False,False,True
4214,2019-01-01,2024-12-31,2192,0,2192,72215.0,mature,False,False,True
4215,2019-01-01,2024-12-31,2192,0,2192,53071.0,mature,False,False,True
4216,2019-01-01,2024-12-31,2192,0,2192,9137.0,mature,False,False,True
4217,2021-04-13,2024-12-31,1359,0,1359,5159.0,mature,False,False,True
4220,2019-01-01,2024-12-31,2192,0,2192,9958.0,mature,False,False,True
4227,2019-01-02,2024-12-30,2190,0,2190,3547.0,mature,False,False,True
4245,2019-01-01,2024-12-31,2192,0,2192,10906.0,mature,False,False,True
4246,2019-01-01,2024-12-29,2190,0,2190,5389.0,mature,False,False,True
4247,2019-06-02,2024-12-30,2039,0,2039,3471.0,mature,False,False,True
4248,2019-01-01,2024-12-29,2190,0,2190,8321.0,mature,False,False,True
4249,2019-01-01,2024-12-30,2191,0,2191,9124.0,mature,False,False,True
4250,2019-01-01,2024-12-31,2192,0,2192,12512.0,mature,False,False,True
4254,2019-01-01,2024-12-31,2192,0,2192,4829.0,mature,False,False,True
4255,2021-03-26,2024-12-31,1377,0,1377,2753.0,mature,False,False,True
4266,2019-01-01,2024-12-31,2192,0,2192,11681.0,mature,False,False,True
4267,2019-01-10,2024-12-30,2182,0,2182,6952.0,mature,False,False,True
4273,2019-01-02,2024-12-31,2191,0,2191,15857.0,mature,False,False,True
4275,2019-01-10,2024-12-31,2183,0,2183,4042.0,mature,False,False,True
4293,2019-01-26,2024-12-28,2164,0,2164,3948.0,mature,False,False,True
4300,2019-02-16,2024-12-31,2146,0,2146,6580.0,mature,False,False,True
4301,2019-06-19,2024-12-31,2023,0,2023,4021.0,mature,False,False,True
4302,2019-06-20,2024-12-31,2022,0,2022,3542.0,mature,False,False,True
4303,2019-06-20,2024-12-31,2022,0,2022,3278.0,mature,False,False,True
4304,2019-01-30,2024-12-31,2163,0,2163,10671.0,mature,False,False,True
4306,2019-01-30,2024-12-28,2160,0,2160,5038.0,mature,False,False,True
4311,2019-02-07,2024-12-31,2155,0,2155,5603.0,mature,False,False,True
4312,2019-02-16,2024-12-31,2146,0,2146,3696.0,mature,False,False,True
4313,2019-02-06,2024-12-30,2155,0,2155,4692.0,mature,False,False,True
4314,2019-02-09,2024-12-31,2153,0,2153,6148.0,mature,False,False,True
4315,2019-02-06,2024-12-31,2156,0,2156,10272.0,mature,False,False,True
4321,2020-07-22,2020-08-30,40,0,40,24.0,newborn,True,False,False
4322,2019-03-03,2020-09-20,568,0,568,650.0,mature,False,False,False
4323,2019-03-01,2020-09-12,562,0,562,491.0,mature,False,False,False
4324,2019-02-28,2020-09-09,560,0,560,501.0,mature,False,False,False
