model_name,horizon,n,coverage_80,coverage_95,avg_width_80,avg_width_95,mean_winkler_80,mean_winkler_95
deepar,7,5568,0.7704741379310345,0.9493534482758621,8.949824816429581,24.397168444638694,21.075578638641485,39.428403645730306
lgbm,7,5568,0.8387212643678161,0.9493534482758621,8.391134092101497,13.320410422520563,11.350649146744047,23.219032479896423
naive,7,5568,0.819683908045977,0.9542025862068966,8.639906609195402,15.91659033764368,18.005926724137932,28.668027119252876
seasonal_naive_7,7,5568,0.8256106321839081,0.9540229885057471,8.751939655172421,15.106456537356312,17.713864942528737,28.45056573275862
xgboost,7,5568,0.0,0.9493534482758621,0.0,13.261979155409435,25.93495881977095,23.75265479053146
deepar,30,23960,0.7043405676126878,0.9490818030050083,7.814896467979842,28.658575600207783,28.76577451322632,45.5766703098378
lgbm,30,23960,0.8019198664440734,0.9490818030050083,8.236732300600446,15.645928512851912,13.529223618151127,28.170869250632553
naive,30,23960,0.8229966611018364,0.95279632721202,9.252303839732887,17.940881677796316,20.024883138564274,33.122016903171954
seasonal_naive_7,30,23960,0.824415692821369,0.9531302170283806,9.054290484140235,17.012957011686137,19.5562938230384,32.50936769616027
xgboost,30,23960,0.0,0.9490818030050083,0.0,15.778640975722283,29.054992521943554,28.57550767581033
