model_name,horizon,horizon_step,n,coverage_80,coverage_95,avg_width_80,avg_width_95
deepar,7,1,797,0.8193224592220828,0.9498117942283564,9.475744535812321,22.880600046393564
deepar,7,2,792,0.7790404040404041,0.9494949494949495,9.043631894871442,22.957160853210727
deepar,7,3,783,0.7918263090676884,0.9489144316730523,9.024568821887556,25.656658640644668
deepar,7,4,792,0.7702020202020202,0.9494949494949495,8.945134241623109,22.922030556081552
deepar,7,5,794,0.7481108312342569,0.9496221662468514,8.877922347270571,26.76344628745419
deepar,7,6,810,0.7481481481481481,0.9481481481481482,8.669498572378982,25.14252912756836
deepar,7,7,800,0.7375,0.95,8.619689784795046,24.458109256774172
deepar,30,1,797,0.8193224592220828,0.9498117942283564,9.475744535812321,22.880600046393564
deepar,30,2,792,0.7790404040404041,0.9494949494949495,9.043631894871442,22.957160853210727
deepar,30,3,783,0.7918263090676884,0.9489144316730523,9.024568821887556,25.656658640644668
deepar,30,4,792,0.7702020202020202,0.9494949494949495,8.945134241623109,22.922030556081552
deepar,30,5,794,0.7481108312342569,0.9496221662468514,8.877922347270571,26.76344628745419
deepar,30,6,810,0.7481481481481481,0.9481481481481482,8.669498572378982,25.14252912756836
deepar,30,7,800,0.7375,0.95,8.619689784795046,24.458109256774172
deepar,30,8,822,0.6885644768856448,0.948905109489051,8.141826753488713,38.18741915049058
deepar,30,9,819,0.7350427350427351,0.9487179487179487,8.395959856309297,26.839599875594516
deepar,30,10,808,0.6992574257425742,0.948019801980198,8.034374134375318,27.900084590874975
deepar,30,11,799,0.723404255319149,0.9499374217772215,8.035488132839657,24.50016340900567
deepar,30,12,815,0.6662576687116565,0.9484662576687116,7.98774258710124,34.0754072655344
deepar,30,13,796,0.7110552763819096,0.949748743718593,7.96019204148096,28.83611834438602
deepar,30,14,792,0.7146464646464646,0.9494949494949495,7.830146074596078,27.124662417941042
deepar,30,15,819,0.702075702075702,0.9487179487179487,7.604998097169385,27.3451989137936
deepar,30,16,795,0.6817610062893081,0.949685534591195,7.527958699442306,26.593516457635634
deepar,30,17,813,0.6580565805658056,0.948339483394834,7.504025388614425,32.792558113587255
deepar,30,18,807,0.6716232961586122,0.9479553903345725,7.448683667360185,29.717945292078742
deepar,30,19,790,0.7012658227848101,0.9493670886075949,7.489993361732628,29.834171908113
deepar,30,20,788,0.666243654822335,0.949238578680203,7.459655424362512,28.900387531246487
