model_name,horizon,slice_type,slice_value,mae,rmse,mase,bias,rows,stations,coverage_80,avg_width_80
xgboost,7,all,all_stations,2.593495881977095,4.127391174583184,0.9114938617633876,0.13752747554032282,5568,225,0.0,0.0
lgbm,7,all,all_stations,2.5995947948065674,4.084863516093761,0.9204259307501247,0.26890566708509095,5568,225,0.8387212643678161,8.391134092101497
naive,7,all,all_stations,3.3814655172413794,5.451754173036271,1.1711170511326445,0.0010775862068965517,5568,225,0.819683908045977,8.639906609195402
seasonal_naive_7,7,all,all_stations,3.39996408045977,5.576289732780036,1.1869549942887665,0.21138649425287356,5568,225,0.8256106321839081,8.751939655172421
deepar,7,all,all_stations,4.086905959479767,7.9187803872244915,1.2313398011994459,-3.096530185263047,5568,225,0.7704741379310345,8.949824816429581
xgboost,30,all,all_stations,2.9054992521943555,5.194295833565788,1.0252527921408428,-0.2967361077044364,23960,230,0.0,0.0
lgbm,30,all,all_stations,2.9358316336713712,5.155655171674838,1.0438650967603997,0.05813287761692512,23960,230,0.8019198664440734,8.236732300600446
seasonal_naive_7,30,all,all_stations,3.656636060100167,6.338638568191407,1.2762381620250618,0.02166110183639399,23960,230,0.824415692821369,9.054290484140235
naive,30,all,all_stations,3.721619365609349,6.345591189629998,1.2944950498320138,-0.18597662771285475,23960,230,0.8229966611018364,9.252303839732887
deepar,30,all,all_stations,4.68767464617656,9.375295247737803,1.4091656830955566,-3.7923216848122654,23960,230,0.7043405676126878,7.814896467979842
