model_name,fold_id,horizon,horizon_step,target_date,point_forecast,actual,residual,abs_error,fit_success,fallback_triggered,fallback_reason,selected_spec
naive,1,7,1,2024-10-31,1605.0,1459.0,-146.0,146.0,,,,
naive,1,7,2,2024-11-01,1605.0,1817.0,212.0,212.0,,,,
naive,1,7,3,2024-11-02,1605.0,1211.0,-394.0,394.0,,,,
naive,1,7,4,2024-11-03,1605.0,1344.0,-261.0,261.0,,,,
naive,1,7,5,2024-11-04,1605.0,1361.0,-244.0,244.0,,,,
naive,1,7,6,2024-11-05,1605.0,1482.0,-123.0,123.0,,,,
naive,1,7,7,2024-11-06,1605.0,1217.0,-388.0,388.0,,,,
seasonal_naive_7,1,7,1,2024-10-31,1385.0,1459.0,74.0,74.0,,,,
seasonal_naive_7,1,7,2,2024-11-01,1645.0,1817.0,172.0,172.0,,,,
seasonal_naive_7,1,7,3,2024-11-02,1421.0,1211.0,-210.0,210.0,,,,
seasonal_naive_7,1,7,4,2024-11-03,1410.0,1344.0,-66.0,66.0,,,,
seasonal_naive_7,1,7,5,2024-11-04,1327.0,1361.0,34.0,34.0,,,,
seasonal_naive_7,1,7,6,2024-11-05,1443.0,1482.0,39.0,39.0,,,,
seasonal_naive_7,1,7,7,2024-11-06,1605.0,1217.0,-388.0,388.0,,,,
seasonal_naive_30,1,7,1,2024-10-31,1538.0,1459.0,-79.0,79.0,,,,
seasonal_naive_30,1,7,2,2024-11-01,1760.0,1817.0,57.0,57.0,,,,
seasonal_naive_30,1,7,3,2024-11-02,1694.0,1211.0,-483.0,483.0,,,,
seasonal_naive_30,1,7,4,2024-11-03,1664.0,1344.0,-320.0,320.0,,,,
seasonal_naive_30,1,7,5,2024-11-04,1643.0,1361.0,-282.0,282.0,,,,
seasonal_naive_30,1,7,6,2024-11-05,1458.0,1482.0,24.0,24.0,,,,
seasonal_naive_30,1,7,7,2024-11-06,1548.0,1217.0,-331.0,331.0,,,,
ets,1,7,1,2024-10-31,1497.0059191114246,1459.0,-38.005919111424646,38.005919111424646,,,,
ets,1,7,2,2024-11-01,1546.7521523232365,1817.0,270.2478476767635,270.2478476767635,,,,
ets,1,7,3,2024-11-02,1538.7641451364566,1211.0,-327.7641451364566,327.7641451364566,,,,
ets,1,7,4,2024-11-03,1605.052923919916,1344.0,-261.0529239199161,261.0529239199161,,,,
ets,1,7,5,2024-11-04,1387.5315328754043,1361.0,-26.53153287540431,26.53153287540431,,,,
ets,1,7,6,2024-11-05,1470.4074372278815,1482.0,11.592562772118526,11.592562772118526,,,,
ets,1,7,7,2024-11-06,1465.8636937785977,1217.0,-248.86369377859774,248.86369377859774,,,,
sarimax_dynamic,1,7,1,2024-10-31,1455.0567084328727,1459.0,3.9432915671272895,3.9432915671272895,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
sarimax_dynamic,1,7,2,2024-11-01,1495.5913891119653,1817.0,321.4086108880347,321.4086108880347,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
sarimax_dynamic,1,7,3,2024-11-02,1520.1041657189269,1211.0,-309.1041657189269,309.1041657189269,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
sarimax_dynamic,1,7,4,2024-11-03,1512.7892161175032,1344.0,-168.7892161175032,168.7892161175032,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
sarimax_dynamic,1,7,5,2024-11-04,1359.454397699083,1361.0,1.5456023009169257,1.5456023009169257,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
sarimax_dynamic,1,7,6,2024-11-05,1392.7431848360247,1482.0,89.25681516397526,89.25681516397526,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
sarimax_dynamic,1,7,7,2024-11-06,1379.3534975005855,1217.0,-162.3534975005855,162.3534975005855,True,False,,"order=(0, 1, 1); seasonal_order=(0, 1, 1, 7); trend=n"
fourier_dynamic_regression,1,7,1,2024-10-31,1315.690673828125,1459.0,143.309326171875,143.309326171875,,,,
fourier_dynamic_regression,1,7,2,2024-11-01,1357.6116333007812,1817.0,459.38836669921875,459.38836669921875,,,,
fourier_dynamic_regression,1,7,3,2024-11-02,1337.744140625,1211.0,-126.744140625,126.744140625,,,,
