date,target,missing_period_flag,series_scope
2019-01-01,503,0,system_level
2019-01-02,667,0,system_level
2019-01-03,727,0,system_level
2019-01-04,798,0,system_level
2019-01-05,278,0,system_level
2019-01-06,374,0,system_level
2019-01-07,475,0,system_level
2019-01-08,743,0,system_level
2019-01-09,778,0,system_level
2019-01-10,764,0,system_level
2019-01-11,734,0,system_level
2019-01-12,463,0,system_level
2019-01-13,559,0,system_level
2019-01-14,236,0,system_level
2019-01-15,369,0,system_level
2019-01-16,228,0,system_level
2019-01-17,343,0,system_level
2019-01-18,776,0,system_level
2019-01-19,788,0,system_level
2019-01-20,525,0,system_level
2019-01-21,549,0,system_level
2019-01-22,685,0,system_level
2019-01-23,724,0,system_level
2019-01-24,738,0,system_level
2019-01-25,902,0,system_level
2019-01-26,801,0,system_level
2019-01-27,774,0,system_level
2019-01-28,723,0,system_level
2019-01-29,782,0,system_level
2019-01-30,785,0,system_level
2019-01-31,572,0,system_level
2019-02-01,843,0,system_level
2019-02-02,204,0,system_level
2019-02-03,207,0,system_level
2019-02-04,396,0,system_level
2019-02-05,512,0,system_level
2019-02-06,681,0,system_level
2019-02-07,750,0,system_level
2019-02-08,772,0,system_level
2019-02-09,613,0,system_level
2019-02-10,318,0,system_level
2019-02-11,660,0,system_level
2019-02-12,674,0,system_level
2019-02-13,468,0,system_level
2019-02-14,489,0,system_level
2019-02-15,633,0,system_level
2019-02-16,648,0,system_level
2019-02-17,405,0,system_level
2019-02-18,520,0,system_level
2019-02-19,855,0,system_level
2019-02-20,682,0,system_level
2019-02-21,688,0,system_level
2019-02-22,794,0,system_level
2019-02-23,661,0,system_level
2019-02-24,647,0,system_level
2019-02-25,586,0,system_level
2019-02-26,642,0,system_level
2019-02-27,612,0,system_level
2019-02-28,658,0,system_level
2019-03-01,767,0,system_level
2019-03-02,301,0,system_level
2019-03-03,869,0,system_level
2019-03-04,699,0,system_level
2019-03-05,636,0,system_level
2019-03-06,276,0,system_level
2019-03-07,638,0,system_level
2019-03-08,633,0,system_level
2019-03-09,451,0,system_level
2019-03-10,565,0,system_level
2019-03-11,680,0,system_level
2019-03-12,698,0,system_level
2019-03-13,608,0,system_level
2019-03-14,676,0,system_level
2019-03-15,790,0,system_level
2019-03-16,583,0,system_level
2019-03-17,629,0,system_level
2019-03-18,702,0,system_level
2019-03-19,722,0,system_level
2019-03-20,708,0,system_level
2019-03-21,652,0,system_level
2019-03-22,725,0,system_level
2019-03-23,589,0,system_level
2019-03-24,618,0,system_level
2019-03-25,687,0,system_level
2019-03-26,737,0,system_level
2019-03-27,734,0,system_level
2019-03-28,810,0,system_level
2019-03-29,678,0,system_level
2019-03-30,562,0,system_level
2019-03-31,527,0,system_level
2019-04-01,618,0,system_level
2019-04-02,743,0,system_level
2019-04-03,742,0,system_level
2019-04-04,641,0,system_level
2019-04-05,686,0,system_level
2019-04-06,482,0,system_level
2019-04-07,522,0,system_level
2019-04-08,618,0,system_level
2019-04-09,677,0,system_level
2019-04-10,674,0,system_level
2019-04-11,710,0,system_level
2019-04-12,590,0,system_level
2019-04-13,524,0,system_level
2019-04-14,454,0,system_level
2019-04-15,604,0,system_level
2019-04-16,612,0,system_level
2019-04-17,754,0,system_level
2019-04-18,633,0,system_level
2019-04-19,606,0,system_level
2019-04-20,442,0,system_level
2019-04-21,341,0,system_level
2019-04-22,751,0,system_level
2019-04-23,612,0,system_level
2019-04-24,525,0,system_level
2019-04-25,620,0,system_level
2019-04-26,601,0,system_level
2019-04-27,443,0,system_level
2019-04-28,582,0,system_level
2019-04-29,579,0,system_level
2019-04-30,516,0,system_level
2019-05-01,578,0,system_level
2019-05-02,657,0,system_level
2019-05-03,679,0,system_level
2019-05-04,517,0,system_level
2019-05-05,450,0,system_level
2019-05-06,615,0,system_level
2019-05-07,505,0,system_level
2019-05-08,613,0,system_level
2019-05-09,618,0,system_level
2019-05-10,585,0,system_level
2019-05-11,520,0,system_level
2019-05-12,430,0,system_level
2019-05-13,586,0,system_level
2019-05-14,640,0,system_level
2019-05-15,655,0,system_level
2019-05-16,519,0,system_level
2019-05-17,646,0,system_level
2019-05-18,497,0,system_level
2019-05-19,321,0,system_level
2019-05-20,607,0,system_level
2019-05-21,587,0,system_level
2019-05-22,574,0,system_level
2019-05-23,520,0,system_level
2019-05-24,556,0,system_level
2019-05-25,642,0,system_level
2019-05-26,315,0,system_level
2019-05-27,572,0,system_level
2019-05-28,661,0,system_level
2019-05-29,633,0,system_level
2019-05-30,746,0,system_level
2019-05-31,796,0,system_level
2019-06-01,629,0,system_level
2019-06-02,540,0,system_level
2019-06-03,723,0,system_level
2019-06-04,817,0,system_level
2019-06-05,753,0,system_level
2019-06-06,815,0,system_level
2019-06-07,841,0,system_level
2019-06-08,802,0,system_level
2019-06-09,777,0,system_level
2019-06-10,830,0,system_level
2019-06-11,894,0,system_level
2019-06-12,872,0,system_level
2019-06-13,917,0,system_level
2019-06-14,895,0,system_level
2019-06-15,742,0,system_level
2019-06-16,688,0,system_level
2019-06-17,930,0,system_level
2019-06-18,910,0,system_level
2019-06-19,985,0,system_level
2019-06-20,1016,0,system_level
2019-06-21,998,0,system_level
2019-06-22,884,0,system_level
2019-06-23,892,0,system_level
2019-06-24,1028,0,system_level
2019-06-25,944,0,system_level
2019-06-26,929,0,system_level
2019-06-27,1060,0,system_level
2019-06-28,963,0,system_level
2019-06-29,754,0,system_level
2019-06-30,795,0,system_level
2019-07-01,896,0,system_level
2019-07-02,960,0,system_level
2019-07-03,919,0,system_level
2019-07-04,930,0,system_level
2019-07-05,852,0,system_level
2019-07-06,674,0,system_level
2019-07-07,733,0,system_level
2019-07-08,845,0,system_level
2019-07-09,911,0,system_level
2019-07-10,834,0,system_level
2019-07-11,941,0,system_level
2019-07-12,820,0,system_level
2019-07-13,666,0,system_level
2019-07-14,728,0,system_level
2019-07-15,925,0,system_level
2019-07-16,971,0,system_level
2019-07-17,980,0,system_level
2019-07-18,998,0,system_level
2019-07-19,929,0,system_level
2019-07-20,814,0,system_level
2019-07-21,769,0,system_level
2019-07-22,985,0,system_level
2019-07-23,973,0,system_level
2019-07-24,935,0,system_level
2019-07-25,953,0,system_level
2019-07-26,919,0,system_level
2019-07-27,715,0,system_level
2019-07-28,701,0,system_level
2019-07-29,950,0,system_level
2019-07-30,1035,0,system_level
2019-07-31,900,0,system_level
2019-08-01,1053,0,system_level
2019-08-02,1039,0,system_level
2019-08-03,804,0,system_level
2019-08-04,664,0,system_level
2019-08-05,933,0,system_level
2019-08-06,1118,0,system_level
2019-08-07,976,0,system_level
2019-08-08,1052,0,system_level
2019-08-09,1009,0,system_level
2019-08-10,734,0,system_level
2019-08-11,808,0,system_level
2019-08-12,961,0,system_level
2019-08-13,1099,0,system_level
2019-08-14,982,0,system_level
2019-08-15,1028,0,system_level
2019-08-16,1034,0,system_level
2019-08-17,916,0,system_level
2019-08-18,1210,0,system_level
2019-08-19,952,0,system_level
2019-08-20,1139,0,system_level
2019-08-21,1191,0,system_level
2019-08-22,1181,0,system_level
2019-08-23,1148,0,system_level
2019-08-24,926,0,system_level
2019-08-25,820,0,system_level
2019-08-26,1041,0,system_level
2019-08-27,1126,0,system_level
2019-08-28,1001,0,system_level
2019-08-29,1040,0,system_level
2019-08-30,1067,0,system_level
2019-08-31,818,0,system_level
2019-09-01,851,0,system_level
2019-09-02,800,0,system_level
2019-09-03,1032,0,system_level
2019-09-04,980,0,system_level
2019-09-05,1019,0,system_level
2019-09-06,1006,0,system_level
2019-09-07,921,0,system_level
2019-09-08,852,0,system_level
2019-09-09,964,0,system_level
