date,prediction,model_name,horizon,model_family,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns,horizon_step,point_forecast,lower_80,upper_80,lower_95,upper_95,interval_calibration_method,interval_source_horizon,interval_source_step_start,interval_source_step_end,interval_n_residuals
2025-01-01,835.2002946439031,ets,7,classical,,,,,,,,,,,,1,835.2002946439031,537.7128240339696,929.636578273229,476.62559190884343,1097.6584106020073,pooled_nearby_steps,7,1,3,24
2025-01-02,854.0959123767498,ets,7,classical,,,,,,,,,,,,2,854.0959123767498,556.6084417668162,948.5321960060757,495.52120964169006,1116.5540283348537,pooled_nearby_steps,7,1,3,24
2025-01-03,881.1449548053,ets,7,classical,,,,,,,,,,,,3,881.1449548053,606.2049691394618,959.5977418697894,559.504268571529,1143.603070763404,pooled_nearby_steps,7,2,4,24
2025-01-04,889.7969234154275,ets,7,classical,,,,,,,,,,,,4,889.7969234154275,614.8569377495893,908.3759361059538,568.1562371816565,1057.5455592707654,pooled_nearby_steps,7,3,5,24
2025-01-05,897.0340322392163,ets,7,classical,,,,,,,,,,,,5,897.0340322392163,628.3685851773007,906.5062109137879,527.5847776623334,921.6534647087941,pooled_nearby_steps,7,4,6,24
2025-01-06,771.4835182463539,ets,7,classical,,,,,,,,,,,,6,771.4835182463539,541.1704145190272,790.8313689221287,337.4718609628219,805.8478050231928,pooled_nearby_steps,7,5,7,24
2025-01-07,829.1260209582501,ets,7,classical,,,,,,,,,,,,7,829.1260209582501,598.8129172309234,848.4738716340249,395.1143636747181,863.490307735089,pooled_nearby_steps,7,5,7,24
2025-01-01,835.2002946439031,ets,30,classical,,,,,,,,,,,,1,835.2002946439031,537.6545379620427,930.4805383456497,476.62559190884343,1097.6584106020073,pooled_nearby_steps,30,1,3,24
2025-01-02,854.0959123767498,ets,30,classical,,,,,,,,,,,,2,854.0959123767498,556.5501556948893,949.3761560784964,495.52120964169006,1116.5540283348537,pooled_nearby_steps,30,1,3,24
2025-01-03,881.1449548053,ets,30,classical,,,,,,,,,,,,3,881.1449548053,572.7614190899324,1091.7974780700908,559.504268571529,1546.4449657551477,pooled_nearby_steps,30,2,4,24
2025-01-04,889.7969234154275,ets,30,classical,,,,,,,,,,,,4,889.7969234154275,581.41338770006,969.9071410364868,568.1562371816565,1547.307202646616,pooled_nearby_steps,30,3,5,24
2025-01-05,897.0340322392163,ets,30,classical,,,,,,,,,,,,5,897.0340322392163,625.356556491378,918.8637648667466,596.2325380134021,1431.2318427831028,pooled_nearby_steps,30,4,6,24
2025-01-06,771.4835182463539,ets,30,classical,,,,,,,,,,,,6,771.4835182463539,624.695783578479,793.3132508738842,558.1751220660256,822.0128704109208,pooled_nearby_steps,30,5,7,24
2025-01-07,829.1260209582501,ets,30,classical,,,,,,,,,,,,7,829.1260209582501,598.8129172309234,838.7781557180992,434.72527827049714,879.655373122817,pooled_nearby_steps,30,6,8,24
2025-01-08,835.2002954728797,ets,30,classical,,,,,,,,,,,,8,835.2002954728797,548.52168568963,879.954878902769,395.9210676594374,979.7662530367602,pooled_nearby_steps,30,7,9,24
2025-01-09,854.0959131995743,ets,30,classical,,,,,,,,,,,,9,854.0959131995743,467.16941668741157,943.5406201853114,393.02009522193464,1013.5121988220542,pooled_nearby_steps,30,8,10,24
2025-01-10,881.1449556220182,ets,30,classical,,,,,,,,,,,,10,881.1449556220182,501.79432031683905,970.5896626077553,479.17792787474,1040.561241244498,pooled_nearby_steps,30,9,11,24
2025-01-11,889.7969242260847,ets,30,classical,,,,,,,,,,,,11,889.7969242260847,520.3133882172217,929.5763661401402,487.8298964788065,986.7969895472604,pooled_nearby_steps,30,10,12,24
2025-01-12,897.0340330438573,ets,30,classical,,,,,,,,,,,,12,897.0340330438573,575.847188792658,855.0816337762101,533.2075382555101,960.8861631089272,pooled_nearby_steps,30,11,13,24
2025-01-13,771.4835190450235,ets,30,classical,,,,,,,,,,,,13,771.4835190450235,537.7857364707344,768.8090674271149,478.91598773808096,835.3356491100934,pooled_nearby_steps,30,12,14,24
2025-01-14,829.1260217509925,ets,30,classical,,,,,,,,,,,,14,829.1260217509925,572.9966534090911,809.8592438294806,389.2767188179099,861.6397298357805,pooled_nearby_steps,30,13,15,24
2025-01-15,835.200296259739,ets,30,classical,,,,,,,,,,,,15,835.200296259739,487.4677916459479,840.9170919612293,321.2666121084849,908.6522190527674,pooled_nearby_steps,30,14,16,24
2025-01-16,854.0959139805942,ets,30,classical,,,,,,,,,,,,16,854.0959139805942,418.1336208886265,879.819692301023,308.09527779474206,927.9785966440036,pooled_nearby_steps,30,15,17,24
2025-01-17,881.1449563972419,ets,30,classical,,,,,,,,,,,,17,881.1449563972419,445.6706810831996,881.8969980107827,402.3398111380663,955.0276390606513,pooled_nearby_steps,30,16,18,24
2025-01-18,889.7969249955552,ets,30,classical,,,,,,,,,,,,18,889.7969249955552,469.59062044847747,779.4202913926479,418.724742765918,853.5982957575415,pooled_nearby_steps,30,17,19,24
2025-01-19,897.0340338076176,ets,30,classical,,,,,,,,,,,,19,897.0340338076176,497.2485182972956,758.4265371997499,467.22528868434347,811.8976084176537,pooled_nearby_steps,30,18,20,24
2025-01-20,771.4835198031158,ets,30,classical,,,,,,,,,,,,20,771.4835198031158,493.24618289784775,700.3986115239599,404.5759005185504,767.748677180444,pooled_nearby_steps,30,19,21,24
2025-01-21,829.1260225034587,ets,30,classical,,,,,,,,,,,,21,829.1260225034587,530.4503108008328,758.0411142243028,325.2016386278426,825.3911798807869,pooled_nearby_steps,30,20,22,24
2025-01-22,835.2002970066209,ets,30,classical,,,,,,,,,,,,22,835.2002970066209,404.8571009241153,772.3060714826356,302.7372285083934,953.4001862854396,pooled_nearby_steps,30,21,23,24
2025-01-23,854.0959147219332,ets,30,classical,,,,,,,,,,,,23,854.0959147219332,390.0236907785817,735.5567070202286,300.60942922358925,916.1183672608017,pooled_nearby_steps,30,22,24,24
2025-01-24,881.1449571330793,ets,30,classical,,,,,,,,,,,,24,881.1449571330793,398.3446415160985,706.746326076088,366.2449586167344,943.1674096719478,pooled_nearby_steps,30,23,25,24
2025-01-25,889.7969257259318,ets,30,classical,,,,,,,,,,,,25,889.7969257259318,418.21008044362395,715.3982946689406,374.8969272095869,808.9261117798487,pooled_nearby_steps,30,24,26,24
2025-01-26,897.0340345325739,ets,30,classical,,,,,,,,,,,,26,897.0340345325739,425.447189250266,713.0104105795019,343.83955953227553,808.5215892251018,pooled_nearby_steps,30,25,27,24
2025-01-27,771.4835205226918,ets,30,classical,,,,,,,,,,,,27,771.4835205226918,378.63463443849764,601.4479972982688,219.57557363994374,682.9710752152198,pooled_nearby_steps,30,26,28,24
2025-01-28,829.1260232176948,ets,30,classical,,,,,,,,,,,,28,829.1260232176948,355.71134183889103,659.0904999932717,180.91381692175787,726.8132141988838,pooled_nearby_steps,30,27,29,24
2025-01-29,835.2002977155564,ets,30,classical,,,,,,,,,,,,29,835.2002977155564,323.82748512247724,621.3948919452465,208.26529099181278,686.5684304740635,pooled_nearby_steps,30,28,30,24
2025-01-30,854.0959154256076,ets,30,classical,,,,,,,,,,,,30,854.0959154256076,342.7231028325284,640.2905096552977,227.16090870186395,705.4640481841146,pooled_nearby_steps,30,28,30,24
2025-01-01,835.2002946439031,ets,90,classical,,,,,,,,,,,,1,835.2002946439031,537.6545379620427,930.4805383456497,476.62559190884343,1097.6584106020073,pooled_nearby_steps+proxy_from_h30,30,1,3,24
2025-01-02,854.0959123767498,ets,90,classical,,,,,,,,,,,,2,854.0959123767498,556.5501556948893,949.3761560784964,495.52120964169006,1116.5540283348537,pooled_nearby_steps+proxy_from_h30,30,1,3,24
2025-01-03,881.1449548053,ets,90,classical,,,,,,,,,,,,3,881.1449548053,572.7614190899324,1091.7974780700908,559.504268571529,1546.4449657551477,pooled_nearby_steps+proxy_from_h30,30,2,4,24
2025-01-04,889.7969234154275,ets,90,classical,,,,,,,,,,,,4,889.7969234154275,581.41338770006,969.9071410364868,568.1562371816565,1547.307202646616,pooled_nearby_steps+proxy_from_h30,30,3,5,24
2025-01-05,897.0340322392163,ets,90,classical,,,,,,,,,,,,5,897.0340322392163,625.356556491378,918.8637648667466,596.2325380134021,1431.2318427831028,pooled_nearby_steps+proxy_from_h30,30,4,6,24
2025-01-06,771.4835182463539,ets,90,classical,,,,,,,,,,,,6,771.4835182463539,624.695783578479,793.3132508738842,558.1751220660256,822.0128704109208,pooled_nearby_steps+proxy_from_h30,30,5,7,24
2025-01-07,829.1260209582501,ets,90,classical,,,,,,,,,,,,7,829.1260209582501,598.8129172309234,838.7781557180992,434.72527827049714,879.655373122817,pooled_nearby_steps+proxy_from_h30,30,6,8,24
2025-01-08,835.2002954728797,ets,90,classical,,,,,,,,,,,,8,835.2002954728797,548.52168568963,879.954878902769,395.9210676594374,979.7662530367602,pooled_nearby_steps+proxy_from_h30,30,7,9,24
2025-01-09,854.0959131995743,ets,90,classical,,,,,,,,,,,,9,854.0959131995743,467.16941668741157,943.5406201853114,393.02009522193464,1013.5121988220542,pooled_nearby_steps+proxy_from_h30,30,8,10,24
2025-01-10,881.1449556220182,ets,90,classical,,,,,,,,,,,,10,881.1449556220182,501.79432031683905,970.5896626077553,479.17792787474,1040.561241244498,pooled_nearby_steps+proxy_from_h30,30,9,11,24
2025-01-11,889.7969242260847,ets,90,classical,,,,,,,,,,,,11,889.7969242260847,520.3133882172217,929.5763661401402,487.8298964788065,986.7969895472604,pooled_nearby_steps+proxy_from_h30,30,10,12,24
2025-01-12,897.0340330438573,ets,90,classical,,,,,,,,,,,,12,897.0340330438573,575.847188792658,855.0816337762101,533.2075382555101,960.8861631089272,pooled_nearby_steps+proxy_from_h30,30,11,13,24
2025-01-13,771.4835190450235,ets,90,classical,,,,,,,,,,,,13,771.4835190450235,537.7857364707344,768.8090674271149,478.91598773808096,835.3356491100934,pooled_nearby_steps+proxy_from_h30,30,12,14,24
2025-01-14,829.1260217509925,ets,90,classical,,,,,,,,,,,,14,829.1260217509925,572.9966534090911,809.8592438294806,389.2767188179099,861.6397298357805,pooled_nearby_steps+proxy_from_h30,30,13,15,24
2025-01-15,835.200296259739,ets,90,classical,,,,,,,,,,,,15,835.200296259739,487.4677916459479,840.9170919612293,321.2666121084849,908.6522190527674,pooled_nearby_steps+proxy_from_h30,30,14,16,24
2025-01-16,854.0959139805942,ets,90,classical,,,,,,,,,,,,16,854.0959139805942,418.1336208886265,879.819692301023,308.09527779474206,927.9785966440036,pooled_nearby_steps+proxy_from_h30,30,15,17,24
2025-01-17,881.1449563972419,ets,90,classical,,,,,,,,,,,,17,881.1449563972419,445.6706810831996,881.8969980107827,402.3398111380663,955.0276390606513,pooled_nearby_steps+proxy_from_h30,30,16,18,24
2025-01-18,889.7969249955552,ets,90,classical,,,,,,,,,,,,18,889.7969249955552,469.59062044847747,779.4202913926479,418.724742765918,853.5982957575415,pooled_nearby_steps+proxy_from_h30,30,17,19,24
2025-01-19,897.0340338076176,ets,90,classical,,,,,,,,,,,,19,897.0340338076176,497.2485182972956,758.4265371997499,467.22528868434347,811.8976084176537,pooled_nearby_steps+proxy_from_h30,30,18,20,24
2025-01-20,771.4835198031158,ets,90,classical,,,,,,,,,,,,20,771.4835198031158,493.24618289784775,700.3986115239599,404.5759005185504,767.748677180444,pooled_nearby_steps+proxy_from_h30,30,19,21,24
2025-01-21,829.1260225034587,ets,90,classical,,,,,,,,,,,,21,829.1260225034587,530.4503108008328,758.0411142243028,325.2016386278426,825.3911798807869,pooled_nearby_steps+proxy_from_h30,30,20,22,24
2025-01-22,835.2002970066209,ets,90,classical,,,,,,,,,,,,22,835.2002970066209,404.8571009241153,772.3060714826356,302.7372285083934,953.4001862854396,pooled_nearby_steps+proxy_from_h30,30,21,23,24
2025-01-23,854.0959147219332,ets,90,classical,,,,,,,,,,,,23,854.0959147219332,390.0236907785817,735.5567070202286,300.60942922358925,916.1183672608017,pooled_nearby_steps+proxy_from_h30,30,22,24,24
2025-01-24,881.1449571330793,ets,90,classical,,,,,,,,,,,,24,881.1449571330793,398.3446415160985,706.746326076088,366.2449586167344,943.1674096719478,pooled_nearby_steps+proxy_from_h30,30,23,25,24
2025-01-25,889.7969257259318,ets,90,classical,,,,,,,,,,,,25,889.7969257259318,418.21008044362395,715.3982946689406,374.8969272095869,808.9261117798487,pooled_nearby_steps+proxy_from_h30,30,24,26,24
2025-01-26,897.0340345325739,ets,90,classical,,,,,,,,,,,,26,897.0340345325739,425.447189250266,713.0104105795019,343.83955953227553,808.5215892251018,pooled_nearby_steps+proxy_from_h30,30,25,27,24
2025-01-27,771.4835205226918,ets,90,classical,,,,,,,,,,,,27,771.4835205226918,378.63463443849764,601.4479972982688,219.57557363994374,682.9710752152198,pooled_nearby_steps+proxy_from_h30,30,26,28,24
2025-01-28,829.1260232176948,ets,90,classical,,,,,,,,,,,,28,829.1260232176948,355.71134183889103,659.0904999932717,180.91381692175787,726.8132141988838,pooled_nearby_steps+proxy_from_h30,30,27,29,24
2025-01-29,835.2002977155564,ets,90,classical,,,,,,,,,,,,29,835.2002977155564,323.82748512247724,621.3948919452465,208.26529099181278,686.5684304740635,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-01-30,854.0959154256076,ets,90,classical,,,,,,,,,,,,30,854.0959154256076,342.7231028325284,640.2905096552977,227.16090870186395,705.4640481841146,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-01-31,881.1449578315315,ets,90,classical,,,,,,,,,,,,31,881.1449578315315,369.77214523845237,667.3395520612216,254.2099511077879,732.5130905900386,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-01,889.7969264192006,ets,90,classical,,,,,,,,,,,,32,889.7969264192006,378.42411382612147,675.9915206488907,262.861919695457,741.1650591777077,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-02,897.0340352206978,ets,90,classical,,,,,,,,,,,,33,897.0340352206978,385.6612226276186,683.2286294503879,270.09902849695413,748.4021679792048,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-03,771.4835212057092,ets,90,classical,,,,,,,,,,,,34,771.4835212057092,260.11070861263,557.6781154353993,144.54851448196553,622.8516539642162,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-04,829.1260238956431,ets,90,classical,,,,,,,,,,,,35,829.1260238956431,317.75321130256395,615.3206181253332,202.1910171718995,680.4941566541502,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-05,835.2002983884736,ets,90,classical,,,,,,,,,,,,36,835.2002983884736,323.8274857953944,621.3948926181637,208.26529166472994,686.5684311469806,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-06,854.0959160935308,ets,90,classical,,,,,,,,,,,,37,854.0959160935308,342.72310350045166,640.2905103232209,227.1609093697872,705.4640488520379,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-07,881.1449584944979,ets,90,classical,,,,,,,,,,,,38,881.1449584944979,369.77214590141875,667.339552724188,254.2099517707543,732.513091253005,pooled_nearby_steps+proxy_from_h30,30,28,30,24
2025-02-08,889.796927077247,ets,90,classical,,,,,,,,,,,,39,889.796927077247,378.42411448416783,675.9915213069371,262.86192035350336,741.165059835754,pooled_nearby_steps+proxy_from_h30,30,28,30,24
