model_name,horizon,horizon_step,calibration_method,source_horizon,source_step_start,source_step_end,n_residuals,residual_q025,residual_q10,residual_q90,residual_q975
ets,7,1,pooled_nearby_steps,7,1,3,24,-358.5747027350597,-297.48747060993355,94.43628362932591,262.45811595810403
ets,7,2,pooled_nearby_steps,7,1,3,24,-358.5747027350597,-297.48747060993355,94.43628362932591,262.45811595810403
ets,7,3,pooled_nearby_steps,7,2,4,24,-321.640686233771,-274.9399856658382,78.45278706448939,262.45811595810403
ets,7,4,pooled_nearby_steps,7,3,5,24,-321.640686233771,-274.9399856658382,18.57901269052626,167.7486358553378
ets,7,5,pooled_nearby_steps,7,4,6,24,-369.44925457688294,-268.6654470619157,9.472178674571522,24.619432469577752
ets,7,6,pooled_nearby_steps,7,5,7,24,-434.01165728353203,-230.3131037273268,19.347850675774808,34.364286776838846
ets,7,7,pooled_nearby_steps,7,5,7,24,-434.01165728353203,-230.3131037273268,19.347850675774808,34.364286776838846
ets,30,1,pooled_nearby_steps,30,1,3,24,-358.5747027350597,-297.54575668186044,95.28024370174658,262.45811595810403
ets,30,2,pooled_nearby_steps,30,1,3,24,-358.5747027350597,-297.54575668186044,95.28024370174658,262.45811595810403
ets,30,3,pooled_nearby_steps,30,2,4,24,-321.640686233771,-308.3835357153676,210.6525232647909,665.3000109498478
ets,30,4,pooled_nearby_steps,30,3,5,24,-321.640686233771,-308.3835357153676,80.11021762105935,657.5102792311884
ets,30,5,pooled_nearby_steps,30,4,6,24,-300.8014942258143,-271.67747574783834,21.829732627530223,534.1978105438866
ets,30,6,pooled_nearby_steps,30,5,7,24,-213.30839618032843,-146.78773466787487,21.829732627530223,50.52935216456682
ets,30,7,pooled_nearby_steps,30,6,8,24,-394.400742687753,-230.3131037273268,9.652134759849055,50.52935216456682
ets,30,8,pooled_nearby_steps,30,7,9,24,-439.2792278134423,-286.67860978324967,44.754583429889344,144.5659575638805
ets,30,9,pooled_nearby_steps,30,8,10,24,-461.07581797763964,-386.9264965121627,89.44470698573704,159.41628562247988
ets,30,10,pooled_nearby_steps,30,9,11,24,-401.96702774727817,-379.35063530517914,89.44470698573704,159.41628562247988
ets,30,11,pooled_nearby_steps,30,10,12,24,-401.96702774727817,-369.48353600886304,39.779441914055525,97.00006532117571
ets,30,12,pooled_nearby_steps,30,11,13,24,-363.82649478834725,-321.1868442511994,-41.952399267647294,63.85213006506991
ets,30,13,pooled_nearby_steps,30,12,14,24,-292.56753130694256,-233.6977825742891,-2.6744516179086677,63.85213006506991
ets,30,14,pooled_nearby_steps,30,13,15,24,-439.84930293308264,-256.12936834190145,-19.266777921511924,32.5137080847879
ets,30,15,pooled_nearby_steps,30,14,16,24,-513.9336841512542,-347.73250461379115,5.716795701490224,73.45192279302833
ets,30,16,pooled_nearby_steps,30,15,17,24,-546.0006361858522,-435.9622930919677,25.723778320428806,73.88268266340931
ets,30,17,pooled_nearby_steps,30,16,18,24,-478.8051452591756,-435.4742753140423,0.7520416135408112,73.88268266340931
ets,30,18,pooled_nearby_steps,30,17,19,24,-471.0721822296372,-420.2063045470777,-110.3766336029073,-36.19862923801375
ets,30,19,pooled_nearby_steps,30,18,20,24,-429.8087451232741,-399.78551551032194,-138.6074966078677,-85.13642538996389
ets,30,20,pooled_nearby_steps,30,19,21,24,-366.9076192845654,-278.237336905268,-71.0849082791559,-3.734842622671792
ets,30,21,pooled_nearby_steps,30,20,22,24,-503.92438387561606,-298.67571170262596,-71.0849082791559,-3.734842622671792
ets,30,22,pooled_nearby_steps,30,21,23,24,-532.4630684982275,-430.3431960825056,-62.894225523985256,118.19988927881877
ets,30,23,pooled_nearby_steps,30,22,24,24,-553.486485498344,-464.07222394335156,-118.53920770170465,62.02245253886849
ets,30,24,pooled_nearby_steps,30,23,25,24,-514.8999985163449,-482.8003156169808,-174.39863105699126,62.02245253886849
ets,30,25,pooled_nearby_steps,30,24,26,24,-514.8999985163449,-471.5868452823079,-174.39863105699126,-80.87081394608309
ets,30,26,pooled_nearby_steps,30,25,27,24,-553.1944750002983,-471.5868452823079,-184.02362395307196,-88.51244530747203
ets,30,27,pooled_nearby_steps,30,26,28,24,-551.9079468827481,-392.8488860841942,-170.03552322442303,-88.51244530747203
ets,30,28,pooled_nearby_steps,30,27,29,24,-648.2122062959369,-473.4146813788037,-170.03552322442303,-102.31280901881095
ets,30,29,pooled_nearby_steps,30,28,30,24,-626.9350067237436,-511.3728125930792,-213.80540577030987,-148.63186724149298
ets,30,30,pooled_nearby_steps,30,28,30,24,-626.9350067237436,-511.3728125930792,-213.80540577030987,-148.63186724149298
fourier_dynamic_regression,7,1,pooled_nearby_steps,7,1,3,24,-338.0114860534668,-244.55721435546874,190.34342041015626,408.61671600341805
fourier_dynamic_regression,7,2,pooled_nearby_steps,7,1,3,24,-338.0114860534668,-244.55721435546874,190.34342041015626,408.61671600341805
fourier_dynamic_regression,7,3,pooled_nearby_steps,7,2,4,24,-298.45365676879885,-246.82343749999998,163.05040283203124,408.61671600341805
fourier_dynamic_regression,7,4,pooled_nearby_steps,7,3,5,24,-264.99122314453126,-246.82343749999998,131.355810546875,257.2578125000001
fourier_dynamic_regression,7,5,pooled_nearby_steps,7,4,6,24,-407.15849609375,-250.503564453125,122.02045898437498,165.91904296875006
fourier_dynamic_regression,7,6,pooled_nearby_steps,7,5,7,24,-508.6589111328125,-244.14189453125,122.63203124999998,181.20736083984377
fourier_dynamic_regression,7,7,pooled_nearby_steps,7,5,7,24,-508.6589111328125,-244.14189453125,122.63203124999998,181.20736083984377
fourier_dynamic_regression,30,1,pooled_nearby_steps,30,1,3,24,-269.455265045166,-186.39453124999997,293.9810821533203,408.7042442321778
fourier_dynamic_regression,30,2,pooled_nearby_steps,30,1,3,24,-269.455265045166,-186.39453124999997,293.9810821533203,408.7042442321778
fourier_dynamic_regression,30,3,pooled_nearby_steps,30,2,4,24,-214.43615951538087,-129.483984375,348.57988281249993,865.6165504455573
