model_name,horizon,n,coverage_80,coverage_95,avg_width_80,avg_width_95,mean_winkler_80,mean_winkler_95
ets,7,56,0.7678571428571429,0.9107142857142857,315.4598305868431,520.9106195477876,503.689827750968,610.2209089193382
fourier_dynamic_regression,7,56,0.7321428571428571,0.9107142857142857,394.84660470145093,667.91227079119,645.4889157976422,791.0577322823661
naive,7,56,0.7321428571428571,0.9285714285714286,396.41428571428565,642.3464285714288,621.2357142857143,851.8107142857142
sarimax_dynamic,7,56,0.75,0.9107142857142857,320.6518473484854,539.1608599091265,528.6198713641631,642.1076534847456
seasonal_naive_30,7,56,0.7857142857142857,0.9107142857142857,489.64285714285717,850.0866071428571,809.5892857142857,1289.1401785714286
seasonal_naive_7,7,56,0.7321428571428571,0.9285714285714286,413.2857142857143,687.6035714285716,679.6964285714286,910.2107142857142
tree_boosting_fallback,7,56,0.75,0.9107142857142857,317.7371921806476,540.1278597621492,515.4469698394663,662.39109081395
ets,30,240,0.7625,0.9166666666666666,327.09432875509367,546.1215041322047,524.5857030511509,771.4934488979086
fourier_dynamic_regression,30,240,0.7708333333333334,0.9208333333333333,390.3425901285807,617.4618967183433,590.0743323516847,838.958308614095
naive,30,240,0.7666666666666667,0.9208333333333333,417.95666666666665,668.8841666666668,648.7858333333334,913.4508333333332
sarimax_dynamic,30,240,0.775,0.9208333333333333,318.0966153757536,528.9383414032034,506.7264307262338,758.269997820819
seasonal_naive_30,30,240,0.7666666666666667,0.9041666666666667,475.1233333333333,918.9268750000002,873.3691666666667,1478.0185416666668
seasonal_naive_7,30,240,0.7791666666666667,0.925,419.1,853.1345833333334,814.675,1406.9554166666667
tree_boosting_fallback,30,240,0.7666666666666667,0.925,350.67989404269423,624.2887578941517,597.0600317107917,898.1534949343563
