model_name,horizon,horizon_step,n,coverage_80,coverage_95,avg_width_80,avg_width_95
ets,7,1,8,0.875,0.875,391.92375423925955,621.0328186931637
ets,7,2,8,0.875,0.875,391.92375423925955,621.0328186931637
ets,7,3,8,0.5,0.875,353.39277273032775,584.0988021918749
ets,7,4,8,0.875,1.0,293.5189983563645,489.3893220891089
ets,7,5,8,1.0,1.0,278.1376257364873,394.0686870464607
ets,7,6,8,0.75,0.75,249.66095440310164,468.3759440603708
ets,7,7,8,0.5,1.0,249.66095440310164,468.3759440603708
ets,30,1,8,0.875,0.875,392.8260003836069,621.0328186931637
ets,30,2,8,0.875,0.875,392.8260003836069,621.0328186931637
ets,30,3,8,0.625,0.875,519.0360589801585,986.9406971836188
ets,30,4,8,0.75,0.875,388.49375333642683,979.1509654649594
ets,30,5,8,0.875,1.0,293.50720837536846,834.9993047697009
ets,30,6,8,0.625,1.0,168.61746729540505,263.8377483448951
ets,30,7,8,0.75,0.875,239.96523848717584,444.9300948523197
ets,30,8,8,0.75,0.875,331.433193213139,583.8451853773229
ets,30,9,8,0.75,0.875,476.3712034978996,620.4921036001194
ets,30,10,8,0.625,0.875,468.7953422909161,561.3833133697581
ets,30,11,8,0.875,1.0,409.2629779229185,498.9670930684539
ets,30,12,8,0.875,0.875,279.23444498355207,427.6786248534172
ets,30,13,8,0.75,1.0,231.02333095638028,356.41966137201257
ets,30,14,8,0.75,1.0,236.86259042038955,472.36301101787046
ets,30,15,8,0.875,0.875,353.44930031528133,587.3856069442826
ets,30,16,8,0.625,0.875,461.6860714123966,619.8833188492614
ets,30,17,8,0.75,0.875,436.226316927583,552.6878279225848
ets,30,18,8,0.75,1.0,309.8296709441704,434.87355299162334
ets,30,19,8,0.875,1.0,261.1780189024542,344.67231973331013
ets,30,20,8,0.75,1.0,207.15242862611217,363.17277666189364
ets,30,21,8,0.625,0.875,227.5908034234701,500.1895412529443
ets,30,22,8,0.875,0.875,367.4489705585203,650.6629577770462
ets,30,23,8,0.75,0.875,345.5330162416468,615.5089380372125
ets,30,24,8,0.625,1.0,308.4016845599895,576.9224510552134
ets,30,25,8,0.75,0.875,297.18821422531664,434.029184570262
ets,30,26,8,0.875,1.0,287.56322132923583,464.6820296928263
ets,30,27,8,0.75,0.75,222.81336285977113,463.39550157527606
ets,30,28,8,0.75,1.0,303.3791581543806,545.899397277126
ets,30,29,8,0.625,0.75,297.5674068227694,478.3031394822507
ets,30,30,8,0.875,1.0,297.5674068227693,478.3031394822507
fourier_dynamic_regression,7,1,8,0.75,0.875,434.9006347656251,746.6282020568849
fourier_dynamic_regression,7,2,8,0.75,0.875,434.9006347656251,746.6282020568849
fourier_dynamic_regression,7,3,8,0.625,1.0,409.87384033203125,707.070372772217
fourier_dynamic_regression,7,4,8,0.75,0.875,378.17924804687505,522.2490356445312
fourier_dynamic_regression,7,5,8,0.75,1.0,372.5240234375,573.0775390625001
